id,area,finding,evidence,crash_rate,performance,maintainability,app_store_readiness,confidence,phase,recommended_action,validation
AUD-001,iOS release,"Real TestFlight purchase/restore and App Store Connect state remain external launch gates","Release checklist and iOS release workflow require paywall_testflight_verified before App Store submission",2,1,2,5,high,Phase 0,"Collect account-owner sandbox/TestFlight purchase and restore proof; confirm metadata, subscriptions, privacy, and public listing state","iOS Release Loop run; TestFlight purchase/restore evidence; App Store Connect proof"
AUD-002,iOS validation,"Fresh local native proof is blocked until ignored config files are bootstrapped","Config.xcconfig and Config-Development.xcconfig are ignored and absent before pnpm ios:bootstrap-local-config",1,1,3,4,high,Phase 0,"Run bootstrap before native proof and keep failures classified as environment until compile begins","pnpm ios:bootstrap-local-config; xcodebuild -list; build-for-testing"
AUD-003,iOS crash risk,"Forced Supabase/photo/export URL crash risk has been materially reduced","SupabaseURLBuilder and focused tests cover malformed URL/config states; targeted rg for URL(string: ...)! has no release-path matches",1,1,2,2,high,Closed,"Keep typed URL builders and malformed-config tests in the release gate","SupabaseURLBuilderTests; targeted force-unwrap scan"
AUD-004,iOS performance,"Runtime frame and hitch budgets are not currently proven by reliable trace evidence","Static audits pass; launch-quality shards now fail empty XCTest bundles; post-merge CI run 28012399897 is the latest landed CI proof; no reliable frame/hitch trace is captured",1,4,2,3,high,Phase 2,"Capture physical-device or reliable simulator trace before enforcing frame budgets","quality gate and performance-audit workflows with non-empty cases; Instruments or ETTrace artifact"
AUD-005,data architecture,"Supabase migration ownership has been consolidated to the root tree but needs a guard to prevent regression","supabase/migrations is authoritative; apps/web/supabase/migrations is absent on this branch; pnpm check:supabase-migrations reports no unsafe drift",2,1,3,3,high,Phase 3,"Keep root-only migration creation and drift detection in the release gate","pnpm check:supabase-migrations; migration CI guard"
AUD-006,iOS maintainability,"Auth, sync, Core Data, RevenueCat, HealthKit, dashboard, and entry flows are concentrated in large files","Many Swift files exceed 500 LOC including ExportDataView, AddEntrySheet, MainTabView, RevenueCatManager, RealtimeSyncManager, AuthManager, HealthKitManager, CoreDataManager",2,2,5,3,high,Phase 3,"Extract policy/data ports and view sections incrementally without changing behavior","Existing unit tests plus focused new tests per extracted seam"
AUD-007,web coverage,"Web coverage is still too low for broad product confidence but production-adjacent sync coverage improved","coverage summary totals: lines 726/6561, statements 755/7014, functions 142/1367, branches 320/4075",1,1,4,3,high,Phase 4,"Continue adding focused tests for production-adjacent legal, support, account, API, and sync surfaces","pnpm --filter logyourbody test:coverage"
AUD-008,web readiness,"No debug/test routes are mounted on this branch, but the middleware blocklist remains a readiness guard against reintroduction","route-inventory.json has zero debug/test pages or API handlers; middleware-production-gate.test.ts verifies the mounted inventory is empty and known debug/test patterns return 404 before auth",1,1,2,1,high,Phase 0,"Keep the source-derived route inventory test so new debug/test routes fail loudly before release","middleware-production-gate test; route inventory diff"
AUD-009,iOS crash risk,"Removed synchronous Core Data API runtime traps have been materially reduced","rg finds no runtime call sites for removed sync APIs; removed-sync bodies no longer call fatalError",1,1,1,1,medium,Closed,"Keep removed sync APIs unavailable and rerun call-site scans when Core Data manager changes","rg call-site audit; compile proof"
AUD-010,iOS UI crash risk,"OTP/chart/metric force unwrap crash risk has been materially reduced","Focused scan for last!, weight!, bodyFatPercentage!, ffmi!, and leanMass! is clean in targeted app code",1,1,1,1,medium,Closed,"Keep optional metric and OTP edge cases covered as UI surfaces change","Focused UI/unit tests for empty input and missing metrics; force-unwrap scan"
